id,periodoCompeticion,nombreCompeticion,idEquipoLocal,idEquipoVisitante,fecha,puntosLocal,puntosVisitante,instancia
42100406,2021 - 2022,Temporada,1610612738,1610612744,2022-06-16,90,103,NBA Finals
42100405,2021 - 2022,Temporada,1610612744,1610612738,2022-06-13,104,94,NBA Finals
42100404,2021 - 2022,Temporada,1610612738,1610612744,2022-06-10,97,107,NBA Finals
42100403,2021 - 2022,Temporada,1610612738,1610612744,2022-06-08,116,100,NBA Finals
42100402,2021 - 2022,Temporada,1610612744,1610612738,2022-06-05,107,88,NBA Finals
42100401,2021 - 2022,Temporada,1610612744,1610612738,2022-06-02,108,120,NBA Finals
42100307,2021 - 2022,Temporada,1610612748,1610612738,2022-05-29,96,100,Conference Finals
42100306,2021 - 2022,Temporada,1610612738,1610612748,2022-05-27,103,111,Conference Finals
42100315,2021 - 2022,Temporada,1610612744,1610612742,2022-05-26,120,110,Conference Finals
42100305,2021 - 2022,Temporada,1610612748,1610612738,2022-05-25,80,93,Conference Finals
42100314,2021 - 2022,Temporada,1610612742,1610612744,2022-05-24,119,109,Conference Finals
42100304,2021 - 2022,Temporada,1610612738,1610612748,2022-05-23,102,82,Conference Finals
42100313,2021 - 2022,Temporada,1610612742,1610612744,2022-05-22,100,109,Conference Finals
42100303,2021 - 2022,Temporada,1610612738,1610612748,2022-05-21,103,109,Conference Finals
42100312,2021 - 2022,Temporada,1610612744,1610612742,2022-05-20,126,117,Conference Finals
42100302,2021 - 2022,Temporada,1610612748,1610612738,2022-05-19,102,127,Conference Finals
42100311,2021 - 2022,Temporada,1610612744,1610612742,2022-05-18,112,87,Conference Finals
42100301,2021 - 2022,Temporada,1610612748,1610612738,2022-05-17,118,107,Conference Finals
42100217,2021 - 2022,Temporada,1610612738,1610612749,2022-05-15,109,81,Conference Semifinals
42100227,2021 - 2022,Temporada,1610612756,1610612742,2022-05-15,90,123,Conference Semifinals
42100216,2021 - 2022,Temporada,1610612749,1610612738,2022-05-13,95,108,Conference Semifinals
42100236,2021 - 2022,Temporada,1610612744,1610612763,2022-05-13,110,96,Conference Semifinals
42100206,2021 - 2022,Temporada,1610612755,1610612748,2022-05-12,90,99,Conference Semifinals
42100226,2021 - 2022,Temporada,1610612742,1610612756,2022-05-12,113,86,Conference Semifinals
42100215,2021 - 2022,Temporada,1610612738,1610612749,2022-05-11,107,110,Conference Semifinals
42100235,2021 - 2022,Temporada,1610612763,1610612744,2022-05-11,134,95,Conference Semifinals
42100205,2021 - 2022,Temporada,1610612748,1610612755,2022-05-10,120,85,Conference Semifinals
42100225,2021 - 2022,Temporada,1610612756,1610612742,2022-05-10,110,80,Conference Semifinals
42100214,2021 - 2022,Temporada,1610612749,1610612738,2022-05-09,108,116,Conference Semifinals
42100234,2021 - 2022,Temporada,1610612744,1610612763,2022-05-09,101,98,Conference Semifinals
42100224,2021 - 2022,Temporada,1610612742,1610612756,2022-05-08,111,101,Conference Semifinals
42100204,2021 - 2022,Temporada,1610612755,1610612748,2022-05-08,116,108,Conference Semifinals
42100213,2021 - 2022,Temporada,1610612749,1610612738,2022-05-07,103,101,Conference Semifinals
42100233,2021 - 2022,Temporada,1610612744,1610612763,2022-05-07,142,112,Conference Semifinals
42100203,2021 - 2022,Temporada,1610612755,1610612748,2022-05-06,99,79,Conference Semifinals
42100223,2021 - 2022,Temporada,1610612742,1610612756,2022-05-06,103,94,Conference Semifinals
42100202,2021 - 2022,Temporada,1610612748,1610612755,2022-05-04,119,103,Conference Semifinals
42100222,2021 - 2022,Temporada,1610612756,1610612742,2022-05-04,129,109,Conference Semifinals
42100212,2021 - 2022,Temporada,1610612738,1610612749,2022-05-03,109,86,Conference Semifinals
42100232,2021 - 2022,Temporada,1610612763,1610612744,2022-05-03,106,101,Conference Semifinals
42100201,2021 - 2022,Temporada,1610612748,1610612755,2022-05-02,106,92,Conference Semifinals
42100221,2021 - 2022,Temporada,1610612756,1610612742,2022-05-02,121,114,Conference Semifinals
42100211,2021 - 2022,Temporada,1610612738,1610612749,2022-05-01,89,101,Conference Semifinals
42100231,2021 - 2022,Temporada,1610612763,1610612744,2022-05-01,116,117,Conference Semifinals
42100156,2021 - 2022,Temporada,1610612750,1610612763,2022-04-29,106,114,First Round
42100136,2021 - 2022,Temporada,1610612761,1610612755,2022-04-28,97,132,First Round
42100146,2021 - 2022,Temporada,1610612740,1610612756,2022-04-28,109,115,First Round
42100176,2021 - 2022,Temporada,1610612762,1610612742,2022-04-28,96,98,First Round
42100125,2021 - 2022,Temporada,1610612749,1610612741,2022-04-27,116,100,First Round
42100165,2021 - 2022,Temporada,1610612744,1610612743,2022-04-27,102,98,First Round
42100105,2021 - 2022,Temporada,1610612748,1610612737,2022-04-26,97,94,First Round
42100155,2021 - 2022,Temporada,1610612763,1610612750,2022-04-26,111,109,First Round
42100145,2021 - 2022,Temporada,1610612756,1610612740,2022-04-26,112,97,First Round
42100114,2021 - 2022,Temporada,1610612751,1610612738,2022-04-25,112,116,First Round
42100135,2021 - 2022,Temporada,1610612755,1610612761,2022-04-25,88,103,First Round
42100175,2021 - 2022,Temporada,1610612742,1610612762,2022-04-25,102,77,First Round
42100124,2021 - 2022,Temporada,1610612741,1610612749,2022-04-24,95,119,First Round
42100164,2021 - 2022,Temporada,1610612743,1610612744,2022-04-24,126,121,First Round
42100104,2021 - 2022,Temporada,1610612737,1610612748,2022-04-24,86,110,First Round
42100144,2021 - 2022,Temporada,1610612740,1610612756,2022-04-24,118,103,First Round
42100134,2021 - 2022,Temporada,1610612761,1610612755,2022-04-23,110,102,First Round
42100174,2021 - 2022,Temporada,1610612762,1610612742,2022-04-23,100,99,First Round
42100113,2021 - 2022,Temporada,1610612751,1610612738,2022-04-23,103,109,First Round
42100154,2021 - 2022,Temporada,1610612750,1610612763,2022-04-23,119,118,First Round
42100103,2021 - 2022,Temporada,1610612737,1610612748,2022-04-22,111,110,First Round
42100123,2021 - 2022,Temporada,1610612741,1610612749,2022-04-22,81,111,First Round
42100143,2021 - 2022,Temporada,1610612740,1610612756,2022-04-22,111,114,First Round
42100153,2021 - 2022,Temporada,1610612750,1610612763,2022-04-21,95,104,First Round
42100173,2021 - 2022,Temporada,1610612762,1610612742,2022-04-21,118,126,First Round
42100163,2021 - 2022,Temporada,1610612743,1610612744,2022-04-21,113,118,First Round
42100112,2021 - 2022,Temporada,1610612738,1610612751,2022-04-20,114,107,First Round
42100133,2021 - 2022,Temporada,1610612761,1610612755,2022-04-20,101,104,First Round
42100122,2021 - 2022,Temporada,1610612749,1610612741,2022-04-20,110,114,First Round
42100102,2021 - 2022,Temporada,1610612748,1610612737,2022-04-19,115,105,First Round
42100152,2021 - 2022,Temporada,1610612763,1610612750,2022-04-19,124,96,First Round
42100142,2021 - 2022,Temporada,1610612756,1610612740,2022-04-19,114,125,First Round
42100132,2021 - 2022,Temporada,1610612755,1610612761,2022-04-18,112,97,First Round
42100172,2021 - 2022,Temporada,1610612742,1610612762,2022-04-18,110,104,First Round
42100162,2021 - 2022,Temporada,1610612744,1610612743,2022-04-18,126,106,First Round
42100101,2021 - 2022,Temporada,1610612748,1610612737,2022-04-17,115,91,First Round
42100111,2021 - 2022,Temporada,1610612738,1610612751,2022-04-17,115,114,First Round
42100121,2021 - 2022,Temporada,1610612749,1610612741,2022-04-17,93,86,First Round
42100141,2021 - 2022,Temporada,1610612756,1610612740,2022-04-17,110,99,First Round
42100171,2021 - 2022,Temporada,1610612742,1610612762,2022-04-16,93,99,First Round
42100151,2021 - 2022,Temporada,1610612763,1610612750,2022-04-16,117,130,First Round
42100131,2021 - 2022,Temporada,1610612755,1610612761,2022-04-16,131,111,First Round
42100161,2021 - 2022,Temporada,1610612744,1610612743,2022-04-16,123,107,First Round
52100201,2021 - 2022,Temporada,1610612739,1610612737,2022-04-15,101,107,Play-In Tournament
52100211,2021 - 2022,Temporada,1610612746,1610612740,2022-04-15,101,105,Play-In Tournament
52100111,2021 - 2022,Temporada,1610612737,1610612766,2022-04-13,132,103,Play-In Tournament
52100131,2021 - 2022,Temporada,1610612740,1610612759,2022-04-13,113,103,Play-In Tournament
52100101,2021 - 2022,Temporada,1610612751,1610612739,2022-04-12,115,108,Play-In Tournament
52100121,2021 - 2022,Temporada,1610612750,1610612746,2022-04-12,109,104,Play-In Tournament
22101216,2021 - 2022,Temporada,1610612751,1610612754,2022-04-10,134,126,Regular Season
22101217,2021 - 2022,Temporada,1610612766,1610612764,2022-04-10,124,108,Regular Season
22101218,2021 - 2022,Temporada,1610612739,1610612749,2022-04-10,133,115,Regular Season
22101221,2021 - 2022,Temporada,1610612745,1610612737,2022-04-10,114,130,Regular Season
22101223,2021 - 2022,Temporada,1610612763,1610612738,2022-04-10,110,139,Regular Season
