periodoEvento,nombreEvento,nombrePremio,idPersona
2018 - 2019,All Star,Skills Challenge,1628369
2018 - 2019,All Star,Representante equipo ganador,2544
2018 - 2019,All Star,Slam Dunk,1628977
2018 - 2019,All Star,Three-Point Shootout,203925
2018 - 2019,All Star,All-Star MVP,201142
2018 - 2019,Temporada,Regular Season MVP,203507
2018 - 2019,Temporada,Finals MVP,202695
2018 - 2019,Temporada,Rookie of the Year (ROY),1629029
2018 - 2019,Temporada,Defensive Player of the Year (DPOY),203497
2018 - 2019,Temporada,Most Improved Player (MIP),1627783
2018 - 2019,Temporada,Sixth Man of the Year (SMOY),101150
2018 - 2019,Temporada,Coach of the Year (COTY),19
2019 - 2020,All Star,Skills Challenge,1628389
2019 - 2020,All Star,Representante equipo ganador,2544
2019 - 2020,All Star,Slam Dunk,1627884
2019 - 2020,All Star,Three-Point Shootout,1627741
2019 - 2020,All Star,All-Star MVP,202695
2019 - 2020,Temporada,Regular Season MVP,203507
2019 - 2020,Temporada,Finals MVP,2544
2019 - 2020,Temporada,Rookie of the Year (ROY),1629630
2019 - 2020,Temporada,Defensive Player of the Year (DPOY),203507
2019 - 2020,Temporada,Most Improved Player (MIP),1627742
2019 - 2020,Temporada,Sixth Man of the Year (SMOY),1626149
2019 - 2020,Temporada,Coach of the Year (COTY),31
2020 - 2021,All Star,Skills Challenge,1626156
2020 - 2021,All Star,Representante equipo ganador,2544
2020 - 2021,All Star,Slam Dunk,1629014
2020 - 2021,All Star,Three-Point Shootout,201939
2020 - 2021,All Star,All-Star MVP,203507
2020 - 2021,Temporada,Regular Season MVP,203999
2020 - 2021,Temporada,Finals MVP,203507
2020 - 2021,Temporada,Rookie of the Year (ROY),1630163
2020 - 2021,Temporada,Defensive Player of the Year (DPOY),203497
2020 - 2021,Temporada,Most Improved Player (MIP),203944
2020 - 2021,Temporada,Sixth Man of the Year (SMOY),203903
2020 - 2021,Temporada,Coach of the Year (COTY),20
2021 - 2022,All Star,Skills Challenge,1628386
2021 - 2022,All Star,Representante equipo ganador,2544
2021 - 2022,All Star,Slam Dunk,1630167
2021 - 2022,All Star,Three-Point Shootout,1626157
2021 - 2022,All Star,All-Star MVP,201939
2021 - 2022,Temporada,Regular Season MVP,203999
2021 - 2022,Temporada,Finals MVP,201939
2021 - 2022,Temporada,Rookie of the Year (ROY),1630567
2021 - 2022,Temporada,Defensive Player of the Year (DPOY),203935
2021 - 2022,Temporada,Most Improved Player (MIP),1629630
2021 - 2022,Temporada,Sixth Man of the Year (SMOY),1629639
2021 - 2022,Temporada,Coach of the Year (COTY),39
